In-state tuition and state financial aid policies for unauthorized immigrant students at state colleges and universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
New York,,,,,SB 7784,"Requires 2 years of high school in state; can pay in-state tuition; no information on receipt of private scholarship, state financial aid",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,SB 596,Requires 2 years of high school in state; can pay in-state tuition (Board of Regents policy); no information on receipt of private scholarship; can receive certain state-funded grants,,,,,,,HB 1804,"Retained Oklahoma State Regents for Higher Education's discretion to set criteria for granting in-state tuition and scholarships to students who meet certain criteria, regardless of status. The Regents maintained the tuition equity policy and opened access to state financial aid and scholarships.",,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,HB 2787,Requires 3 years of high school in state OR 5 years in elementary/secondary school in U.S.; can pay in-state tuition,,,SB 932,"Extends access to state financial aid and grants for students who meet certain criteria, regardless of their status",,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,Residency Policy S-5.0,Requires 3 years of high school in state; can pay in-state tuition effective Fall 2012,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,HB 1403,Requires 3 years of high school in state; can pay in-state tuition and receive state financial aid,,,,,,,SB 1528 ,Amends HB 1403 (2001),,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,HB 144,Requires 3 years of high school in state; can pay in-state tuition,,,,,,,,,,,,,,,,,,,,,,,,,SB 253,Can receive private scholarships,,
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Attorney General Letter,Recipients of Deferred Action for Childhood Arrivals (DACA) who have lived in the state for one year are eligible for in-state tuition. Other unauthorized immigrant students are not. ,,,,
Washington,,,,,,,HB 1079,Complete senior year and live in state 3 years prior to diploma; can pay in-state tuition,,,,,,,,,,,,,,,,,,,,,SB 6523,Receive state financial aid,,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,,,,,AB 75,Can pay in-state tuition if has 3 years of continuous presence during high school or equivalent in the state; graduated from a Wisconsin high school or GED program; and filed an affidavit promising to apply for permanent residency as soon as the person is eligible to do so,,,AB40,Revoked in-state tuition for unauthorized immigrant students,,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Original data sources: ""Table: Laws & Policies Improving Access to Higher Education for Immigrants,"" in ""Toolkit: Access to Postsecondary Education, National Immigration Law Center,  last modified April 2017, https://www.nilc.org/issues/education/eduaccesstoolkit2a/#tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Undocumented Student Tuition: Overview,"" National Conference of State Legislators, accessed October 2015, http://www.ncsl.org/research/education/undocumented-student-tuition-overview.aspx. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""National Map,"" ULEAD Network, accessed April 28, 2017, http://uleadnet.org/issue/map.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: This table describes policies related to whether each state allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status, and whether each state allows unauthorized immigrant students to access state financial aid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
